href,salary,position,city,work_year,company
/job_detail/07f5229c95776db01nFy0tm8FVVX.html,6-7K·16薪,行政前台,上海,1年以内,叠纸游戏
/job_detail/24c5bbd6edd8409a0H192N64GVE~.html,15-30K·16薪,游戏编剧,上海,经验不限,叠纸游戏
/job_detail/3293294627ee5db31nV5092-FFRV.html,20-35K·16薪,高级GO开发工程师,上海,经验不限,叠纸游戏
/job_detail/1189fd3ddfcafbb533x42tW7FVs~.html,15-25K,APM,上海,3-5年,叠纸游戏
/job_detail/28b52392399c1b911nFz29W5EVNY.html,10-15K·14薪,制片（叠纸动画）,上海,1-3年,叠纸游戏
/job_detail/2bbbac3174b6db531nF_2d-6GFJU.html,16-30K·16薪,游戏UI设计师,上海,3-5年,叠纸游戏
/job_detail/89fe0cd44027bd031nBz0968GVVZ.html,20-30K·16薪,游戏运维工程师,上海,3-5年,叠纸游戏
/job_detail/d760ac1ddfd8b0651nB929W_F1VR.html,25-40K·16薪,战斗开发工程师,上海,3-5年,叠纸游戏
/job_detail/33b7e7487f1572ad1nBy0t-9E1dX.html,15-30K·16薪,3D场景模型,上海,经验不限,叠纸游戏
/job_detail/f41fa5947c20462f0HB62N26EFs~.html,25-50K·16薪,次世代3D角色,上海,5-10年,叠纸游戏
/job_detail/c01c8396bdf7a3c40nd63N-0EFU~.html,8-12K·14薪,美术资源管理,上海,经验不限,叠纸游戏
/job_detail/58c161ed6208c7c41nFz29m_F1BS.html,15-30K·16薪,3d资源管理（主动画）,上海,1-3年,叠纸游戏
/job_detail/b3a31251f0440eb41nd62dm5E1BQ.html,15-30K·16薪,资源策划,上海,1-3年,叠纸游戏
/job_detail/022ff27053a8b6e833F709W0FlA~.html,20-40K·16薪,资深战斗策划,上海,3-5年,叠纸游戏
/job_detail/2e15e4d75c517b811nF73du6FlBR.html,15-30K·16薪,角色原画师,上海,经验不限,叠纸游戏
/job_detail/0aa2b6079eaddced1nB93Ni9FVdS.html,20-40K·16薪,3D动作设计师,上海,经验不限,叠纸游戏
/job_detail/4b5deb04d7a3d3cb1nZy0t-5EFRW.html,15-25K·16薪,角色原画师（游戏研发项目）,上海,1-3年,叠纸游戏
/job_detail/321bf1fc3c23c92c1nV63tq5ElNR.html,15-20K·16薪,美术项目经理APM,上海,经验不限,叠纸游戏
/job_detail/0fbb986bb994acf61nB93Ni9ElNR.html,20-40K·16薪,3D特效,上海,经验不限,叠纸游戏
/job_detail/8435f6a9fac2517d1nF40tu4F1BQ.html,15-30K·16薪,角色原画（中国风服装设计方向）,上海,经验不限,叠纸游戏
/job_detail/41b8de4ba90ba4bb1nR92N26FlpX.html,20-35K·16薪,高级服务器开发,上海,3-5年,叠纸游戏
/job_detail/0f324d2e95ecf7501nF92d68ElBR.html,17-30K·16薪,灯光师（X6） (MJ001037),上海,3-5年,叠纸游戏
/job_detail/378cd65f2355eb981nVz0tW6F1NQ.html,15-30K·16薪,场景原画师,上海,经验不限,叠纸游戏
/job_detail/bf2ae052d57ee1420HF609i4E1M~.html,30-60K·16薪,U3D专家,上海,10年以上,叠纸游戏
/job_detail/23fee50b84dda9f01nF53N67EFZV.html,20-30K·16薪,关卡策划,上海,3-5年,叠纸游戏
/job_detail/f3835345cc2e91c80Hdy2N-7FlI~.html,20-40K·16薪,原画设计师,上海,3-5年,叠纸游戏
/job_detail/ee7963c12c8d5f621nBy2N24FFBQ.html,20-40K·16薪,3D场景地编设计师,上海,经验不限,叠纸游戏
/job_detail/0635d9212f88043b0H192d-5FVQ~.html,20-35K,灯光渲染师,上海,3-5年,叠纸游戏
/job_detail/44da906bc06cd8dc1nF82ty8GVtT.html,30-60K·16薪,动画引擎开发工程师,上海,5-10年,叠纸游戏
/job_detail/19b028b324b30c851nZ73ti5EFtQ.html,11-22K·16薪,游戏编剧,上海,经验不限,叠纸游戏
/job_detail/60434b6a9e5cba0a1nZy0tS9GFNY.html,11-16K·16薪,游戏测试,上海,1-3年,叠纸游戏
/job_detail/b637c0c5e48c8d701nF93t-_FFVT.html,13-25K·16薪,APM（四代） (MJ001050),上海,3-5年,叠纸游戏
/job_detail/ebd35ee5656206b50HB83dW6GVo~.html,25-50K,3D动画师,上海,3-5年,叠纸游戏
/job_detail/5511c523795276431nBz2Nm0ElNW.html,25-50K·16薪,纯写实3D角色专家,上海,经验不限,叠纸游戏
/job_detail/e68fbb10e551a5880Hx_3tu4EVI~.html,40-70K,TA技术美术,上海,3-5年,叠纸游戏
/job_detail/cacb885c4642c37c1nd62dW-GVtR.html,20-35K·16薪,资深web前端开发,上海,5-10年,叠纸游戏
/job_detail/bb643bf62980019f1nF539S4E1dZ.html,16-26K·16薪,2D角色原画设计师,上海,3-5年,叠纸游戏
